district,school,building,built,buildingType,hazard,asce,mitigationType,mitigation
Port Angeles,Port Angeles High,400 Building - 6- Ground Floor Admi,1978,URML,Very High,,,
Port Angeles,Port Angeles High,500 Building - Classrooms,1978,URML,Very High,,,
Port Angeles,Port Angeles High,600 Building - 1- Classrooms,1978,W1,Low,,,
Port Angeles,Port Angeles High,600 Building - 2- Storage,1978,W1,Low,,,
Port Angeles,Port Angeles High,700 Gym - 1- Gym,1978,URML,High to Very High,,,
Port Angeles,Port Angeles High,700 Gym - 2- Class,1978,URML,High to Very High,,,
Port Angeles,Port Angeles High,700 Gym - 3- Gym,1978,URML,High to Very High,,,
Port Angeles,Port Angeles High,700 Gym - 4- Gym,1978,URML,High to Very High,,,
Port Angeles,Port Angeles High,700 Gym - 5- Weight Room,1978,C2L,Moderate to High,,,
Port Angeles,Port Angeles High,800 Building Shops - Classrooms,1978,URML,High to Very High,,,
Port Angeles,Port Angeles High,900 Building - 1- First Floor Class,1978,C2L,Moderate to High,,,
Port Angeles,Port Angeles High,900 Building - 2- Ground Floor Clas,1978,C2L,Moderate to High,,,
Port Angeles,Port Angeles High,Portable B - P-B,1993,FLT,Moderate,,,
Port Angeles,Port Angeles High,Portable C - P-C,1993,FLT,Moderate,,,
Port Angeles,Port Angeles District Central Service,Main Building - 1- Upper Admin,1990,W1,Low,,,
Port Angeles,Port Angeles District Central Service,Main Building - 2- Lower Admin,1990,W1,Low,,,
Port Angeles,Roosevelt Elementary,Main Building - 1- Classrooms,1978,W2,Low,,,
Port Angeles,Roosevelt Elementary,Main Building - 2- Library,1978,W2,Low,,,
Port Angeles,Roosevelt Elementary,Main Building - 3- Admin,1978,W2,Low,,,
Port Angeles,Roosevelt Elementary,Main Building - 4- Gym,1978,RM1L,High,,,
Port Angeles,Roosevelt Elementary,Portable B - B,1992,FLT,Moderate,,,
Port Angeles,Roosevelt Elementary,Storage Shed - Shed,1991,FLT,Moderate,,,
Port Angeles,Stevens Middle,Gym - 3- Classrooms,1960,URML,Very High,,,
Port Angeles,Stevens Middle,Gym - 4- Kitchen,1960,RM1L,High to Very High,,,
Port Angeles,Stevens Middle,Gym - 5- Gym,1972,RM1L,High to Very High,,,
Port Angeles,Stevens Middle,Main Building - 1- Classrooms,1972,RM1L,High,,,
Port Angeles,Stevens Middle,Main Building - 2- Library,1978,RM1L,High,,,
Port Angeles,Stevens Middle,Music Building - 6- Classrooms,2004,FLT,Moderate to High,,,
Port Angeles,Stevens Middle,Portable A - #28/#29,1989,FLT,Moderate to High,,,
Port Angeles,Stevens Middle,Portable B - #27,1989,FLT,Moderate to High,,,
Port Angeles,Stevens Middle,Portable C - #25/#26,1987,FLT,Moderate to High,,,
Port Angeles,Stevens Middle,Portable D - #30/#31,1992,FLT,Moderate,,,
Port Angeles,Stevens Middle,Portable E - #32/#33,1991,FLT,Moderate,,,
Port Angeles,Transportation Maintenance Center,Pupil Tranportation  Center - PTC,1983,RM1L,High,,,
Port Angeles,Transportation Maintenance Center,,,,,,,
Quillayute Valley,Forks Alternative High,Alternative School Portable - Portable,1997,,Missing Data,,,
Quillayute Valley,Forks Alternative High,Main Building - Area 1,1956,FLT,Moderate to High,,,
Quillayute Valley,Forks Elementary,Covered Play 1 - CP1,1989,S3,Moderate to High,,,
Quillayute Valley,Forks Elementary,Covered Play 2 - CP2,1989,S3,Moderate to High,,,
Quillayute Valley,Forks Elementary,Electric Hub - Area 1,1970,RM1L,High,,,
Quillayute Valley,Forks Elementary,Main Building - 89 Add'n,1989,W2,Low to Moderate,,,
Quillayute Valley,Forks Elementary,Main Building - Main Bldg,1970,W2,Low to Moderate,,,
Quillayute Valley,Forks Elementary,Portables - Portable #1,1970,W1,Low to Moderate,,,
Quillayute Valley,Forks Elementary,Portables - Portable #2,1970,W1,Low to Moderate,,,
Quillayute Valley,Forks Elementary,Warehouse - Warehouse,1989,S3,Moderate to High,,,
Quillayute Valley,Forks Intermediate,Covered Play - Covered Play,1990,FLT,Moderate to High,,,
Quillayute Valley,Forks Intermediate,Gymnasium - Gym,1989,S3,Moderate to High,,,
Quillayute Valley,Forks Intermediate,Main Building - 89 Addition,1989,W2,Low to Moderate,,,
Quillayute Valley,Forks Intermediate,Main Building - Library,1989,W2,Low to Moderate,,,
Quillayute Valley,Forks Intermediate,Main Building - Original Bldg,1956,W2,Low to Moderate,,,
Quillayute Valley,Forks Junior Senior High,2000 Main High School Addition - 1A-J,2000,W2,Low,,,
Quillayute Valley,Forks Junior Senior High,2000 Main High School Addition - 1K-M,2000,S2L,Low,,,
Quillayute Valley,Forks Junior Senior High,2000 Main High School Addition - 1N-Y,2000,S3,Moderate,,,
Quillayute Valley,Forks Junior Senior High,2012 Main High School Addition - Classroom,2012,S2L,Low,,,
Quillayute Valley,Forks Junior Senior High,Auto Tech Center - Classroom,1970,W2,Low to Moderate,,,
Quillayute Valley,Forks Junior Senior High,Auto Tech Center - Storage,1970,W2,Low to Moderate,,,
Quillayute Valley,Forks Junior Senior High,Career and Tech Ed - Classroom,2012,S2L,Low,,,
Quillayute Valley,Forks Junior Senior High,Main Junior High Building - Annex,1949,W2,Low to Moderate,,,
Quillayute Valley,Forks Maintenance Department,BioMass Building - Maintenance and Oper,2011,S2L,Low,,,
Quillayute Valley,Forks Maintenance Department,Main Building - Auto Shop,2000,S3,Moderate,,,
Quillayute Valley,Quillayute Valley District - Forks Administration Office,Admin Annex - Administrative,1962,W1,Low to Moderate,,,
Quillayute Valley,Quillayute Valley District - Forks Administration Office,Admin Building - Administrative,1990,W1,Low to Moderate,,,
Quillayute Valley,Quillayute Valley District - Forks Transportation Department,Bus Barn 1 - Storage,1980,W2,Low to Moderate,,,
Quillayute Valley,Quillayute Valley District - Forks Transportation Department,Bus Barn 2 - Storage,1980,W2,Low to Moderate,,,
Quillayute Valley,Quillayute Valley District - Forks Transportation Department,Shop/Offices - Administrative,1980,RM1L,High,,,
Quillayute Valley,Quillayute Valley District - Forks Transportation Department,Steam Cleaner Building - Auto Shop,1992,S3,Moderate,,,
Quillayute Valley,Quillayute Valley District - Forks Transportation Department,Storage Building - Storage,1980,S3,Moderate to High,,,
Quillayute Valley,QVSD - Auxiliary Gym,Auxiliary Gym - Aux Gym,1957,W2,Low to Moderate,,,
Quillayute Valley,QVSD - Hatchery,Hatchery - Skills Center,1997,S3,Moderate,,,
Quillayute Valley,QVSD - Stadium and Tower,Stadium - Stadium,1963,W1,Low to Moderate,,,
Quillayute Valley,QVSD - Stadium and Tower,Tower - Grounds,2010,W1,Low,,,
Quillayute Valley,QVSD - Stadium and Tower,,,,,,,
Shelton,Bordeaux Elementary,Covered Play - KK,2003,S3,Moderate,,,
Shelton,Bordeaux Elementary,Main Building - A-A1,2003,W2,Low,,,
Shelton,Bordeaux Elementary,Main Building - AA-S,1959,W2,Low to Moderate,,,
Shelton,Bordeaux Elementary,Main Building - B,2003,W2,Low,,,
Shelton,Bordeaux Elementary,Main Building - BB,1959,W2,Low to Moderate,,,
Shelton,Bordeaux Elementary,Main Building - C,2003,W2,Low,,,
Shelton,Bordeaux Elementary,Main Building - CC-GG,1959,W2,Low to Moderate,,,
Shelton,Bordeaux Elementary,Main Building - D,2003,W2,Low,,,
Shelton,Bordeaux Elementary,Main Building - DD,1959,C2L,Moderate to High,,,
Shelton,Bordeaux Elementary,Main Building - E,2003,W2,Low,,,
Shelton,Bordeaux Elementary,Main Building - EE,1959,W2,Low to Moderate,,,
Shelton,Bordeaux Elementary,Main Building - F,2003,W2,Low,,,
Shelton,Bordeaux Elementary,Main Building - FF,1959,W2,Low to Moderate,,,
Shelton,Bordeaux Elementary,Main Building - G,2003,W2,Low,,,
Shelton,Bordeaux Elementary,Main Building - H,2003,W2,Low,,,
Shelton,Bordeaux Elementary,Main Building - I,2003,W2,Low,,,
Shelton,Bordeaux Elementary,Main Building - J,2003,W2,Low,,,
Shelton,Bordeaux Elementary,Main Building - JJ,1959,W2,Low to Moderate,,,
Shelton,Bordeaux Elementary,Main Building - K-K1,2003,W2,Low,,,
Shelton,Bordeaux Elementary,Main Building - L-L1,2003,W2,Low,,,
Shelton,Bordeaux Elementary,Main Building - M,2003,W2,Low,,,
Shelton,Bordeaux Elementary,Main Building - N,2003,W2,Low,,,
Shelton,Bordeaux Elementary,Main Building - O,2003,W2,Low,,,
Shelton,Bordeaux Elementary,Main Building - P,2003,W2,Low,,,
Shelton,Bordeaux Elementary,Main Building - Q-Q1,2003,W2,Low,,,
Shelton,Bordeaux Elementary,Main Building - R,2003,W2,Low,,,
Shelton,Bordeaux Elementary,Main Building - S,2003,W2,Low,,,
Shelton,Bordeaux Elementary,Main Building - T,1955,RM1L,High,,,
Shelton,Bordeaux Elementary,Main Building - U,1955,RM1L,High,,,
Shelton,Bordeaux Elementary,Main Building - V,1955,RM1L,High,,,
Shelton,Bordeaux Elementary,Main Building - W,1955,RM1L,High,,,
Shelton,Bordeaux Elementary,Main Building - X,1955,RM1L,High,,,
Shelton,Bordeaux Elementary,Main Building - Y,1955,W2,Low to Moderate,,,
Shelton,Bordeaux Elementary,Main Building - Z,1955,W2,Low to Moderate,,,
Shelton,Bordeaux Elementary,Portable 1/2 - Portable 1/2,1900,MH,Moderate to High,,,
Shelton,Bordeaux Elementary,Portable 3/4 - Portable 3/4,1900,MH,Moderate to High,,,
Shelton,Bordeaux Elementary,Portable 5/6 - Portable 5/6,1900,MH,Moderate to High,,,
Shelton,CHOICE Alternative,Main Building - 1948 Lower Flr,1948,C3L,High,,,
Shelton,CHOICE Alternative,Main Building - 1948 Upper Flr,1948,C3L,High,,,
Shelton,CHOICE Alternative,Main Building - 1988 Lower Flr,1988,W1,Low,,,
Shelton,CHOICE Alternative,Main Building - 2003 Lower Flr,2003,S2L,Low,,,
Shelton,CHOICE Alternative,Main Building - 2003 Upper Flr,2003,S2L,Low,,,
Shelton,Evergreen Elementary,Covered Play - ZZ,2003,S3,Moderate,,,
Shelton,Evergreen Elementary,Main Building - 0,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - A-A1,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - B,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - C,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - D,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - E,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - F,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - G,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - H,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - I,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - J-J1,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - K,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - L,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - M,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - N-N1,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - P,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - Q,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - R,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - S-S1,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - T,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - U,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - V,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - W-W1,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - X,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - Y,2003,W2,Low,,,
Shelton,Evergreen Elementary,Main Building - Z,2003,W2,Low,,,
Shelton,Evergreen Elementary,Portable East - Portable East,1900,MH,Moderate to High,,,
Shelton,Evergreen Elementary,Portable SE - Portable SE,1900,MH,Moderate to High,,,
Shelton,Evergreen Elementary,Portable West - Portable West,1900,MH,Moderate to High,,,
Shelton,Mountain View Elementary,Annex Building - 15,1970,W2,Low to Moderate,,,
Shelton,Mountain View Elementary,Annex Building - 15,1970,W2,Low to Moderate,,,
Shelton,Mountain View Elementary,Annex Building - 15,1970,W2,Low to Moderate,,,
Shelton,Mountain View Elementary,Annex Building - 15,1970,W2,Low to Moderate,,,
Shelton,Mountain View Elementary,Annex Building - 15,1970,W2,Low to Moderate,,,
Shelton,Mountain View Elementary,Annex Building - 15,1970,W2,Low to Moderate,,,
Shelton,Mountain View Elementary,Annex Building - 15,1970,W2,Low to Moderate,,,
Shelton,Mountain View Elementary,Annex Building - 15-16,1970,W2,Low to Moderate,,,
Shelton,Mountain View Elementary,Covered Play East - 19,2006,S3,Low,,,
Shelton,Mountain View Elementary,Covered Play West - 17,1975,W2,Low,,,
Shelton,Mountain View Elementary,Library Building - 12-13-14,1969,W2,Low to Moderate,,,
Shelton,Mountain View Elementary,Main Building - 1,1955,W2,Low to Moderate,,,
Shelton,Mountain View Elementary,Main Building - 10,1957,RM1L,High,,,
Shelton,Mountain View Elementary,Main Building - 11,1957,W2,Low to Moderate,,,
Shelton,Mountain View Elementary,Main Building - 18,1988,,Missing Data,,,
Shelton,Mountain View Elementary,Main Building - 2-(4x2),1955,W2,Low to Moderate,,,
Shelton,Mountain View Elementary,Main Building - 5-6,1957,W2,Low to Moderate,,,
Shelton,Mountain View Elementary,Main Building - 7,1957,RM1L,High,,,
Shelton,Mountain View Elementary,Main Building - 8-(9x2),1957,W2,Low to Moderate,,,
Shelton,Mountain View Elementary,Portable 1 - Portable 1,1900,MH,Moderate to High,,,
Shelton,Mountain View Elementary,Portable 2/3 - Portable 2/3,1900,MH,Moderate to High,,,
Shelton,Mountain View Elementary,Portable 4/5 - Portable 4/5,1900,MH,Moderate to High,,,
Shelton,Mountain View Elementary,Portable 6/7 - Portable 6/7,1900,MH,Moderate to High,,,
Shelton,Mountain View Elementary,Portable 8/9 - Portable 8/9,1900,MH,Moderate to High,,,
Shelton,Oakland Bay Junior High,Main Building - A,1990,PC1,High to Very High,,,
Shelton,Oakland Bay Junior High,Main Building - AA,1990,S2L,Moderate to High,,,
Shelton,Oakland Bay Junior High,Main Building - B,1990,RM1L,High,,,
Shelton,Oakland Bay Junior High,Main Building - BB-CC-DD,1990,S2L,Moderate to High,,,
Shelton,Oakland Bay Junior High,Main Building - C,1990,RM1L,High,,,
Shelton,Oakland Bay Junior High,Main Building - D-E,1990,RM1L,High,,,
Shelton,Oakland Bay Junior High,Main Building - EE,1990,S2L,Moderate to High,,,
Shelton,Oakland Bay Junior High,Main Building - F,1990,RM1L,High,,,
Shelton,Oakland Bay Junior High,Main Building - FF,1990,S2L,Moderate to High,,,
Shelton,Oakland Bay Junior High,Main Building - G,1990,PC1,High to Very High,,,
Shelton,Oakland Bay Junior High,Main Building - H,1990,RM1L,High,,,
Shelton,Oakland Bay Junior High,Main Building - I,1990,RM1L,High,,,
Shelton,Oakland Bay Junior High,Main Building - J,1990,S2L,Moderate to High,,,
Shelton,Oakland Bay Junior High,Main Building - K-L,1990,S2L,Moderate to High,,,
Shelton,Oakland Bay Junior High,Main Building - M,1990,S2L,Moderate to High,,,
Shelton,Oakland Bay Junior High,Main Building - O,1990,S2L,Moderate to High,,,
Shelton,Oakland Bay Junior High,Main Building - P-N,1990,S2L,Moderate to High,,,
Shelton,Oakland Bay Junior High,Main Building - Q,1990,S2L,Moderate to High,,,
Shelton,Oakland Bay Junior High,Main Building - R,1990,S2L,Moderate to High,,,
Shelton,Oakland Bay Junior High,Main Building - S-T,1990,S2L,Moderate to High,,,
Shelton,Oakland Bay Junior High,Portable 601/602 - Portable 601/602,1900,MH,Moderate to High,,,
Shelton,Oakland Bay Junior High,Portable 603/604 - Portable 603/604,1900,MH,Moderate to High,,,
Shelton,Olympic Middle,Main Building - 10,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 11,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 12,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 14,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 1-4-6,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 16,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 17,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 18-13-15,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 19,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 2,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 20,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 21-22,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 23,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 24,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 25,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 26,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 27,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 28,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 29,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 3,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 30,2004,RM1L,Low,,,
Shelton,Olympic Middle,Main Building - 31,2004,RM1L,Low,,,
Shelton,Olympic Middle,Main Building - 32,2004,RM1L,Low,,,
Shelton,Olympic Middle,Main Building - 33,2004,RM1L,Low,,,
Shelton,Olympic Middle,Main Building - 34,2004,RM1L,Low,,,
Shelton,Olympic Middle,Main Building - 35,2004,RM1L,Low,,,
Shelton,Olympic Middle,Main Building - 36,2004,RM1L,Low,,,
Shelton,Olympic Middle,Main Building - 37,2004,RM1L,Low,,,
Shelton,Olympic Middle,Main Building - 38,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 39,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 40,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 41,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 42,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 43,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 44,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 45,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 46,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 5,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 7,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 8,2004,W2,Low,,,
Shelton,Olympic Middle,Main Building - 9,2004,W2,Low,,,
Shelton,Shelton High,100 Administration - Bldg. 100,1973,W2,Low,,,
Shelton,Shelton High,1100 Cafeteria - Bldg. 1100,1973,W2,Low to Moderate,,,
Shelton,Shelton High,1200/1300 Auditorium/Music - Bldg. 1200,1973,W2,Low to Moderate,,,
Shelton,Shelton High,200 Business - Bldg. 200,1973,W2,Low,,,
Shelton,Shelton High,300 Social Studies NJROTC - Bldg 300,1973,W2,Low,,,
Shelton,Shelton High,400 English - Bdlg. 400,1973,W2,Low,,,
Shelton,Shelton High,500 Math Home and Family - Bldg. 500,1973,W2,Low,,,
Shelton,Shelton High,600 Science - Bldg. 600,1973,W2,Low,,,
Shelton,Shelton High,700 Library - Bldg. 700,1973,W2,Low,,,
Shelton,Shelton High,800 Vocational - Bldg. 800,1973,W2,Low,,,
Shelton,Shelton High,900/1000 Pool & Gym - Bldg. 900 - 1973,1973,W2,Low to Moderate,,,
Shelton,Shelton High,900/1000 Pool & Gym - Bldg. 900 - 1980,1980,W2,Low,,,
Shelton,Shelton High,900/1000 Pool & Gym - Bldg. 900 - 1988,1988,W2,Low,,,
Shelton,Shelton High,Portable 1 - Portable 1,1900,MH,Moderate to High,,,
Shelton,Shelton High,Portable 2 - Portable 2,1900,MH,Moderate to High,,,
Shelton,Shelton High,Portable 3 - Portable 3,1900,MH,Moderate to High,,,
Shelton,Shelton High,Portable 4 - Portable 4,1900,MH,Moderate to High,,,
Shelton,Shelton High,Portable 5 - Portable 5,1900,MH,Moderate to High,,,
Shelton,Shelton High,Portable FFA/Hort. - Portable FFA/Hort,1900,MH,Moderate to High,,,
Shelton,Transportation Maintenance Center,Transportatoin Center - Trans Ctr Flr 1,1984,,Missing Data,,,
Shelton,Transportation Maintenance Center,Transportatoin Center - Trans Ctr Flr 2,1984,,Missing Data,,,
Shelton,Transportation Maintenance Center,,,,,,,
Shoreline,Albert Einstein Middle,A Building - Area 1,1968,W2,Low,,,
Shoreline,Albert Einstein Middle,A-B Restroom Building - Area 1,1968,W2,Low,,,
Shoreline,Albert Einstein Middle,B Building - Area 1,1968,W2,Low,,,
Shoreline,Albert Einstein Middle,Building K - Area 1,1968,W2,Low,,,
Shoreline,Albert Einstein Middle,D Building - Area 1,1968,W2,Low,,,
Shoreline,Albert Einstein Middle,D-E Restroom Building - Area 1,1968,W1,Low,,,
Shoreline,Albert Einstein Middle,G Building - Area 1,1992,W1,Low,,,
Shoreline,Albert Einstein Middle,H Building - Area 1,1968,W2,Low,,,
Shoreline,Albert Einstein Middle,L Building - Area 1,2000,W2,Low,,,
Shoreline,Albert Einstein Middle,"Main Building (C,E,I,J) - Building C",1968,RM1L,Moderate to High,,,
Shoreline,Albert Einstein Middle,"Main Building (C,E,I,J) - Building E",1968,RM1L,Moderate to High,,,
Shoreline,Albert Einstein Middle,"Main Building (C,E,I,J) - Building I",1968,RM1L,Moderate to High,,,
Shoreline,Albert Einstein Middle,"Main Building (C,E,I,J) - Building J",1968,W2,Low,,,
Shoreline,Aldercrest Elementary,Building A - Auditorium - Area 1,1959,S5L,Moderate,,,
Shoreline,Aldercrest Elementary,Building B - Area 1,1959,S5L,Moderate,,,
Shoreline,Aldercrest Elementary,Building C - Area 1,1959,S5L,Moderate,,,
Shoreline,Aldercrest Elementary,Building D - Area 1,1959,S5L,Moderate,,,
Shoreline,Briarcrest Elementary,Main Building - Area 1,1954,W2,Low,,,
Shoreline,Briarcrest Elementary,Main Building - Covered Play-Attach,2004,,Missing Data,,,
Shoreline,Briarcrest Elementary,Modular Building - Area 1,2008,W1,Low,,,
Shoreline,Brookside Elementary,Main Building - 1994 Additions,1994,,Missing Data,,,
Shoreline,Brookside Elementary,Main Building - Covered Play Area,1994,,Missing Data,,,
Shoreline,Brookside Elementary,Main Building - Original 1958 Bldg.,1958,S5L,Moderate,,,
Shoreline,Brookside Elementary,Modular 1 - Area 1,2009,W1,Low,,,
Shoreline,Cedarbrook Elementary,Building 100 - Area 1,1964,W2,Low,,,
Shoreline,Cedarbrook Elementary,Building 200 - Area 1,1964,W2,Low,,,
Shoreline,Cedarbrook Elementary,Building 300 - Lower Floor,1964,W2,Low,,,
Shoreline,Cedarbrook Elementary,Building 300 - Upper Floor,1964,W2,Low,,,
Shoreline,District Transportation Center,Transportation Center - Ground Floor,1960,,Missing Data,,,
Shoreline,District Transportation Center,Transportation Center - Loft,1960,,Missing Data,,,
Shoreline,District Warehouse and Central Kitchen,Building 200 - Storage,1965,,Missing Data,,,
Shoreline,District Warehouse and Central Kitchen,Building 300 - Storage,1942,,Missing Data,,,
Shoreline,District Warehouse and Central Kitchen,Building 500 - Storage,1942,,Missing Data,,,
Shoreline,District Warehouse and Central Kitchen,District Warehouse and Central Kitchen - Addition,2000,,Missing Data,,,
Shoreline,District Warehouse and Central Kitchen,District Warehouse and Central Kitchen - Warehouse/Kitchen,1965,,Missing Data,,,
Shoreline,Echo Lake Elementary,Main Building - 1964 Addition,1964,,Missing Data,,,
Shoreline,Echo Lake Elementary,Main Building - Classroom Additions,1996,,Missing Data,,,
Shoreline,Echo Lake Elementary,Main Building - Covered Play,1988,,Missing Data,,,
Shoreline,Echo Lake Elementary,Main Building - Janitor Addition,1998,,Missing Data,,,
Shoreline,Echo Lake Elementary,Main Building - Library + Additions,1988,,Missing Data,,,
Shoreline,Echo Lake Elementary,Main Building - Original 1956 Bldg.,1956,S5L,Moderate,,,
Shoreline,Echo Lake Elementary,Modular - Main Area,2008,,Low,,,
Shoreline,Highland Terrace Elementary,Covered Play - Covered Play,1991,W2,Low,,,
Shoreline,Highland Terrace Elementary,Main Building - 1991 Addition,1991,,Missing Data,,,
Shoreline,Highland Terrace Elementary,Main Building - Original Building,1957,W2,Low,,,
Shoreline,Highland Terrace Elementary,Modular - Area 1,2009,W1,Low,,,
Shoreline,Kellogg Middle,100 / Main Building - Addition,1997,,Missing Data,,,
Shoreline,Kellogg Middle,100 / Main Building - Orig. Bldg-1986 Mod.,1952,W2,Low,,,
Shoreline,Kellogg Middle,200-300 Building - 200 Bldg - Addition,1997,,Missing Data,,,
Shoreline,Kellogg Middle,200-300 Building - 200-Orig.-1986 Mod.,1952,W2,Low,,,
Shoreline,Kellogg Middle,200-300 Building - 300 Bldg - Addition,1997,,Missing Data,,,
Shoreline,Kellogg Middle,200-300 Building - 300-Orig.-1986 Mod.,1952,FLT,Moderate,,,
Shoreline,Kellogg Middle,400 Building - 400 Bldg - Addition,1997,,Missing Data,,,
Shoreline,Kellogg Middle,400 Building - 400-Orig.-1986 Mod.,1952,W2,Low,,,
Shoreline,Kellogg Middle,500 Building - 500 Bldg - Addition,1997,,Missing Data,,,
Shoreline,Kellogg Middle,500 Building - 500-Orig.-1986 Mod.,1954,S3,Moderate,,,
Shoreline,Kellogg Middle,600 Building - 600-Orig.-1986 Mod.,1957,S3,Moderate,,,
Shoreline,Kellogg Middle,700 Building - 700 Bldg - Addition,1997,,Missing Data,,,
Shoreline,Kellogg Middle,700 Building - 700-Orig.-1986 Mod.,1952,S3,Moderate,,,
Shoreline,Kellogg Middle,Portable 1 - Area 1,1990,W1,Low,,,
Shoreline,Kellogg Middle,Portable 2 - Area 1,1990,W1,Low,,,
Shoreline,Kellogg Middle,Portable 3 - Area 1,1990,W1,Low,,,
Shoreline,Kellogg Middle,Portable 4 - Area 1,1990,W1,Low,,,
Shoreline,Kellogg Middle,Portable 5 - Area 1,1990,W1,Low,,,
Shoreline,Kellogg Middle,Portable 6 - Area 1,1990,W1,Low,,,
Shoreline,Kellogg Middle,Track Storage Building - Area 1,2008,W1,Low,,,
Shoreline,Lake Forest Park Elementary,Covered Play - Area 1,1991,W2,Low,,,
Shoreline,Lake Forest Park Elementary,Daycare 200 Building - Area 1,1952,W1,Low,,,
Shoreline,Lake Forest Park Elementary,Modular - Area 1,2009,W1,Low,,,
Shoreline,Lake Forest Park Elementary,Multipurpose 300 Building - 300 Addition (1966),1966,,Missing Data,,,
Shoreline,Lake Forest Park Elementary,Multipurpose 300 Building - 300 Addition (1991),1991,,Missing Data,,,
Shoreline,Lake Forest Park Elementary,Multipurpose 300 Building - 300 Orig. Building,1952,W2,Low,,,
Shoreline,Lake Forest Park Elementary,Primary Intermediate 100/400 Building - 100 Addition (1965),1965,,Missing Data,,,
Shoreline,Lake Forest Park Elementary,Primary Intermediate 100/400 Building - 100 Addition (1991),1991,,Missing Data,,,
Shoreline,Lake Forest Park Elementary,Primary Intermediate 100/400 Building - 100 Orig. Building,1952,W2,Low,,,
Shoreline,Lake Forest Park Elementary,Primary Intermediate 100/400 Building - 400 Addition,1991,,Missing Data,,,
Shoreline,Lake Forest Park Elementary,Primary Intermediate 100/400 Building - 400 Orig. Building,1966,FLT,Moderate,,,
Shoreline,Melvin G. Syre Elementary,Covered Play - Area 1,1991,W2,Low,,,
Shoreline,Melvin G. Syre Elementary,Main Building - Covered Play-Attach,1991,S2L,Moderate,,,
Shoreline,Melvin G. Syre Elementary,Main Building - Main Bldg. Addition,1991,,Missing Data,,,
Shoreline,Melvin G. Syre Elementary,Main Building - Main Building,1962,W2,Low,,,
Shoreline,Melvin G. Syre Elementary,Modular Classrooms - Area 1,2009,W1,Low,,,
Shoreline,Meridian Park Elementary,Building 600 - 600 - 1960 Addition,1960,,Missing Data,,,
